Preliminary Risk Category,Neighborhood,Address,Year Built,No. Stories,Retrofit Level,Building Use,Estimated Number of Occupants,Confirmation Source
Medium Risk,Wallingford,809 NE 45th St,1930,1,No visible retrofit,Commercial,101+,Google Street View
High Risk,West Seattle Junction/Genesee Hill,4304 SW Dakota St,1930,1,Permitted Retrofit,Public Assembly,101+,Permit Drawing Review
Medium Risk,West Seattle Junction/Genesee Hill,2701 California Ave SW,1930,3,No visible retrofit,Other Mixed Uses,11-100,Field Visit
Medium Risk,West Seattle Junction/Genesee Hill,3225 California Ave SW,1922,2,No visible retrofit,Commercial/Residential,11-100,Field Visit
Medium Risk,West Seattle Junction/Genesee Hill,3401 California Ave SW,1934,1,No visible retrofit,Commercial,11-100,Field Visit
Medium Risk,West Seattle Junction/Genesee Hill,4139 42nd Ave SW,1927,3,No visible retrofit,Other Mixed Uses,1-10,Field Visit
Critical Risk,West Seattle Junction/Genesee Hill,4142 42nd Ave SW,1922,2,Permitted Retrofit,Schools,101+,Permit Drawing Review
Medium Risk,West Seattle Junction/Genesee Hill,4210 SW Edmunds St,1910,1,No visible retrofit,Commercial,11-100,Field Visit
Medium Risk,West Seattle Junction/Genesee Hill,4400 California Ave SW,1910,1,No visible retrofit,Commercial,11-100,Permit Drawing Review
Medium Risk,West Seattle Junction/Genesee Hill,4410 California Ave SW,1910,1,No visible retrofit,Commercial,1-10,Permit Drawing Review
Medium Risk,West Seattle Junction/Genesee Hill,4415 Fauntleroy Way SW,1924,1,No visible retrofit,Commercial,101+,Field Visit
Medium Risk,West Seattle Junction/Genesee Hill,4427 California Ave SW,1920,1,No visible retrofit,Industrial,1-10,Photos from Previous Surveys
Medium Risk,West Seattle Junction/Genesee Hill,4480 Fauntleroy Way SW,1946,1,Visible retrofit,Commercial,11-100,Permit Drawing Review
Medium Risk,West Seattle Junction/Genesee Hill,4508 California Ave SW,1924,1,No visible retrofit,Commercial,11-100,Field Visit
Medium Risk,West Seattle Junction/Genesee Hill,4528 California Ave SW,1928,2,No visible retrofit,Commercial,11-100,Field Visit
Medium Risk,West Seattle Junction/Genesee Hill,4535 California Ave SW,1924,1,No visible retrofit,Commercial,11-100,Field Visit
Medium Risk,West Seattle Junction/Genesee Hill,4540 California Ave SW,1929,2,No visible retrofit,Commercial,11-100,Field Visit
Medium Risk,West Seattle Junction/Genesee Hill,4554 California Ave SW,1929,2,No visible retrofit,Commercial/Office,11-100,White Card Permit Records
Medium Risk,West Seattle Junction/Genesee Hill,4720 California Ave SW,1932,2,No visible retrofit,Commercial,11-100,Field Visit
Medium Risk,West Seattle Junction/Genesee Hill,4721 California Ave SW,1924,1,No visible retrofit,Commercial,101+,Field Visit
Critical Risk,West Seattle Junction/Genesee Hill,3000 California Ave SW,1920,2,Substantial Alteration,Schools,101+,Field Visit
Medium Risk,Whittier Heights,1138 NW 63rd St,1942,2,No visible retrofit,Industrial,1-10,Google Street View
High Risk,Whittier Heights,2006 NW 65th St,1928,2,No visible retrofit,Public Assembly,101+,Google Street View
Critical Risk,Whittier Heights,6510 23rd Ave NW,1929,3,No visible retrofit,Schools,101+,Google Street View
Medium Risk,Whittier Heights,6757 8th Ave NW,1950,1,No visible retrofit,Commercial,11-100,Google Street View
Medium Risk,Whittier Heights,7000 15th Ave NW,1927,1,No visible retrofit,Commercial/Office,11-100,Field Visit
Medium Risk,Whittier Heights,7013 15th Ave NW,1935,1,No visible retrofit,Commercial,11-100,Field Visit
Critical Risk,Whittier Heights,1810 NW 65th St,1930,3,Permitted Retrofit,Schools,101+,Google Street View
